Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet,processed_tweets
0,3,0,0,3,2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,woman complain clean house man always take trash
1,3,0,3,0,1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,boy dat cold tyga dwn bad cuffin dat hoe place
2,3,0,3,0,1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,dawg ever fuck bitch start cry confuse shit
3,3,0,2,1,1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,look like tranny
4,6,0,6,0,1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,shit hear might true might faker bitch tell ya
5,3,1,2,0,1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",shit blow claim faithful somebody still fuck hoe
6,3,0,3,0,1,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",sit hate another bitch get much shit go
7,3,0,3,0,1,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,cause tired big bitch come we skinny
8,3,0,3,0,1,""" &amp; you might not get ya bitch back &amp; thats that """,might get ya bitch back
9,3,1,2,0,1,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",hobby include fight mariam bitch
10,3,0,3,0,1,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",keeks bitch curve everyone lol walk conversation like smh
11,3,0,3,0,1,""" Murda Gang bitch its Gang Land """,murda gang bitch gang land
12,3,0,2,1,1,""" So hoes that smoke are losers ? "" yea ... go on IG",hoe smoke loser yea go ig
13,3,0,3,0,1,""" bad bitches is the only thing that i like """,bad bitch thing like
14,3,1,2,0,1,""" bitch get up off me """,bitch get
15,3,0,3,0,1,""" bitch nigga miss me with it """,bitch nigga miss
16,3,0,3,0,1,""" bitch plz whatever """,bitch plz whatever
17,3,1,2,0,1,""" bitch who do you love """,bitch love
18,3,0,3,0,1,""" bitches get cut off everyday B """,bitch get cut everyday b
19,3,0,3,0,1,""" black bottle &amp; a bad bitch """,black bottle bad bitch
20,3,0,3,0,1,""" broke bitch cant tell me nothing """,break bitch can not tell nothing
21,3,0,3,0,1,""" cancel that bitch like Nino """,cancel bitch like nino
22,3,0,3,0,1,""" cant you see these hoes wont change """,can not see hoe will not change
23,3,0,3,0,1,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",fuck bitch not even suck dick kermit video bout fuck ig
24,3,0,3,0,1,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",get ya bitch tip toe hardwood floor
25,3,0,2,1,1,""" her pussy lips like Heaven doors "" &#128524;",pussy lip like heaven door
26,3,0,3,0,1,""" hoe what its hitting for """,hoe hitting
27,3,0,3,0,1,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",meet pussy ocean dr give pussy pill
28,3,0,3,0,1,""" i need a trippy bitch who fuck on Hennessy """,need trippy bitch fuck hennessy
29,3,0,3,0,1,""" i spend my money how i want bitch its my business """,spend money want bitch business
30,3,0,3,0,1,""" i txt my old bitch my new bitch pussy wetter """,txt old bitch new bitch pussy wetter
31,3,0,3,0,1,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",say back old old bitch would get excited
32,3,0,3,0,1,""" if you aint bout that Murder Game pussy nigga shut up """,be not bout murder game pussy nigga shut
33,3,0,3,0,1,""" if you're toes ain't done you pussy stinks """,toe be do pussy stink
34,3,0,3,0,1,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,do bitter bitch wrap angry bird app
35,3,0,3,0,1,""" is that ya bitch """,ya bitch
36,3,0,3,0,1,""" it aint nothing to cut a bitch off """,be not nothing cut bitch
37,3,0,3,0,1,""" jus meet son now he ya mane ass bitches "" #Shots",jus meet son ya mane ass bitch shot
38,3,0,2,1,1,""" lames crying over hoes thats tears of a clown """,lame cry hoe tear clown
39,3,0,3,0,1,""" like Snoop said in 94 we dont love these hoes """,like snoop say not love hoe
40,3,0,1,2,2,""" momma said no pussy cats inside my doghouse """,momma say pussy cat inside doghouse
41,3,0,3,0,1,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",hate hoe favorite sevenone
42,3,0,3,0,1,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",nice girl bad make get naughty bad yello hoe real nice body south chick like em real thick
43,3,0,3,0,1,""" pimps up pimps up hoes down "" Future voice",pimp pimp hoe future voice
44,3,0,3,0,1,""" post a picture of that pussy get 200 likes """,post picture pussy get like
45,3,0,3,0,1,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",pussy powerful drug happyhumpday
46,3,0,3,0,1,""" quick piece of pussy call it a drive by """,quick piece pussy call drive
47,3,0,3,0,1,""" running round here like some brand new pussy thats bout to get fucked """,run round like brand new pussy bout get fuck
48,3,0,3,0,1,""" these bitches even worst they'll send them guys for you """,bitch even bad send guy
49,3,1,2,0,1,""" these hoes like niggas that spend money not talk bout it """,hoe like niggas spend money talk bout
50,3,1,2,0,1,""" we dont trust these niggas all these bitches """,not trust niggas bitch
51,3,0,3,0,1,""" yall niggas b cuffing hoes cause yall aint never have bitches """,niggas b cuffing hoe cause be not never bitch
52,3,0,3,0,1,""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",dodge bullet da bitch cut pregnant bind thank god
53,3,0,3,0,1,""" young Pill Chamberlain these bitches love my music """,young pill chamberlain bitch love music
54,3,0,2,1,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""",teanna trump probably clean twitter hoe
55,3,0,3,0,1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",gay niggas could wait act like bitch tonight
56,3,0,3,0,1,"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""",steal cat n replace pitbull bitch
57,3,0,3,0,1,"""&amp; he's gone always be a hoe""",go always hoe
58,3,0,3,0,1,"""...Son of a bitch took my Tic Tacs.""

I like this movie.",son bitch take tic tac like movie
59,3,0,3,0,1,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",wanna get money fuck model bitch russell simmon
60,3,0,2,1,1,"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet",probably mind school much deal bitch ass teacher retweet
61,3,0,3,0,1,"""@A7XDemery: I'm a fucking fag they said""",fucking fag say
62,3,0,3,0,1,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",female think date pussy cute stuff make pussy
63,3,0,0,3,2,"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",woof woof hot scally lad
64,3,0,3,0,1,"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes",ya ever ask bitch bitch kanye voice yes
65,3,0,3,0,1,"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!",u gone bring ur side bitch game know ya gf friend swear
66,3,0,1,2,2,"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles",woof woof hot sol
67,3,0,1,2,2,"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",lemmie eat oreo dish one oreo lol
68,3,0,3,0,1,"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",bitch fuck u maybe get well
69,3,1,2,0,1,"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",fuck red malone man bitch ass niggah could please use complete sentence
70,3,0,0,3,2,"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao",eggplant emoji say look like scream lmao
71,3,0,3,0,1,"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch",hennessey venom gt one sexy bitch
72,3,0,3,0,1,"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!",seh pussy wetter shower curtain
73,3,0,3,0,1,"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""",eaglesnation every eagle need see pic post bitch say racist shit
74,3,1,2,0,1,"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn",yo fuck skateboarding wood push faggot man ball life
75,3,0,1,2,2,"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!",baby monkey bathtime awwwwe soooo adorable
76,3,0,3,0,1,"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol",be shit damn skippy lol
77,3,1,2,0,1,"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance",u ever kill ant sidewalk think damn nigga way get bs must b
78,3,0,3,0,1,"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol",ring mvps bitch lol
79,3,1,2,0,1,"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",ppl talk bad ghetto hood kid grow nigga funnnnnnn
80,9,0,7,2,1,"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples",fact tattoo tattoo pussy tattoo nipple
81,3,0,3,0,1,"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..",bitch want act like niggas bad shit be not cuteeeee niggas act like bitch
82,3,0,3,0,1,"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof",get worship bitch woof woof
83,3,1,2,0,1,"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe",wow lose buttcheek piercing yeah hoe
84,3,0,3,0,1,"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",ok sis rather broke bitch shrug tell work
85,3,2,1,0,0,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",queer gaywad
87,3,0,3,0,1,"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol",faggot read tweet dat k even funny lol
88,3,0,3,0,1,"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE",bitch ungrateful fr lulwhore
89,3,0,3,0,1,"""@CASHandBOOBIES: I been kidnapped yo bitch""",kidnap yo bitch
90,3,3,0,0,0,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",alsarabsss beaner smh tell mexican
91,3,1,2,0,1,"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo",happy birthday nig thank yo
92,6,1,5,0,1,"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!",ur teacher tell u u homework bitch need go
93,3,1,2,0,1,"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h",nigga eat hoe lol hell yea lol john paul nigga say john paul
94,3,0,3,0,1,"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""",would lil ugly bald head bitch stop make make weave
95,3,1,2,0,1,"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig",leafs well win damn game go riot shit earlychristmas well start loot nig
96,3,0,3,0,1,"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.""",go back school suck dick hoe attend
97,3,0,3,0,1,"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old",way fuck yo bitch year old
98,3,0,3,0,1,"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard",come never bring food not car retard
